x,y,z
0.0,0.0,0
-0.0010000000000000009,0.0010000000000000009,0
-0.0030000000000000027,0.0010000000000000009,0
-0.0040000000000000036,0.0020000000000000018,0
-0.006000000000000005,0.0020000000000000018,0
-0.007000000000000006,0.0030000000000000027,0
-0.008000000000000007,0.0030000000000000027,0
-0.01100000000000001,0.006000000000000005,0
-0.01200000000000001,0.006000000000000005,0
-0.015000000000000013,0.009000000000000008,0
-0.015000000000000013,0.010000000000000009,0
-0.017000000000000015,0.01200000000000001,0
-0.017000000000000015,0.013000000000000012,0
-0.018000000000000016,0.013999999999999999,0
-0.018000000000000016,0.015,0
-0.019000000000000017,0.016,0
-0.019000000000000017,0.018000000000000002,0
-0.020000000000000018,0.019000000000000003,0
-0.020000000000000018,0.023000000000000007,0
-0.02100000000000002,0.024000000000000007,0
-0.02100000000000002,0.03500000000000002,0
-0.02200000000000002,0.03600000000000002,0
-0.02200000000000002,0.039999999999999994,0
-0.02300000000000002,0.040999999999999995,0
-0.02300000000000002,0.043,0
-0.02400000000000002,0.044,0
-0.02400000000000002,0.045,0
-0.025000000000000022,0.046,0
-0.025000000000000022,0.047,0
-0.026000000000000023,0.048,0
-0.026000000000000023,0.049,0
-0.027000000000000024,0.05,0
-0.027000000000000024,0.051000000000000004,0
-0.028000000000000025,0.052000000000000005,0
-0.028000000000000025,0.053000000000000005,0
-0.030000000000000027,0.05500000000000001,0
-0.030000000000000027,0.05600000000000001,0
-0.03500000000000003,0.06100000000000001,0
-0.03500000000000003,0.06200000000000001,0
-0.035999999999999976,0.06300000000000001,0
-0.03699999999999998,0.06300000000000001,0
-0.04199999999999998,0.06800000000000002,0
-0.04299999999999998,0.06800000000000002,0
-0.044999999999999984,0.06999999999999999,0
-0.045999999999999985,0.06999999999999999,0
-0.04799999999999999,0.072,0
-0.04899999999999999,0.072,0
-0.04999999999999999,0.073,0
-0.05099999999999999,0.073,0
-0.05199999999999999,0.074,0
-0.05399999999999999,0.074,0
-0.05499999999999999,0.075,0
-0.056999999999999995,0.075,0
-0.057999999999999996,0.076,0
-0.061,0.076,0
-0.062,0.077,0
-0.069,0.077,0
-0.07,0.078,0
-0.07800000000000001,0.078,0
-0.07900000000000001,0.079,0
-0.08100000000000002,0.079,0
-0.08200000000000002,0.08,0
-0.08400000000000002,0.08,0
-0.08499999999999999,0.081,0
-0.086,0.081,0
-0.089,0.084,0
-0.09,0.084,0
-0.092,0.08600000000000001,0
-0.092,0.08700000000000001,0
-0.095,0.09000000000000001,0
