x,y,z
0.0,0.0,0
-0.0010000000000000009,0.0010000000000000009,0
-0.002999999999999975,0.0010000000000000009,0
-0.003999999999999976,0.0020000000000000018,0
-0.005999999999999978,0.0020000000000000018,0
-0.0069999999999999785,0.0030000000000000027,0
-0.00799999999999998,0.0030000000000000027,0
-0.00899999999999998,0.0040000000000000036,0
-0.009999999999999981,0.0040000000000000036,0
-0.015999999999999986,0.010000000000000009,0
-0.015999999999999986,0.01100000000000001,0
-0.017999999999999988,0.013000000000000012,0
-0.017999999999999988,0.013999999999999999,0
-0.01899999999999999,0.015,0
-0.01899999999999999,0.017,0
-0.01999999999999999,0.018000000000000002,0
-0.01999999999999999,0.020000000000000004,0
-0.02099999999999999,0.021000000000000005,0
-0.02099999999999999,0.032000000000000015,0
-0.021999999999999992,0.033000000000000015,0
-0.021999999999999992,0.03800000000000002,0
-0.022999999999999993,0.03899999999999999,0
-0.022999999999999993,0.040999999999999995,0
-0.023999999999999994,0.041999999999999996,0
-0.023999999999999994,0.044,0
-0.024999999999999994,0.045,0
-0.024999999999999994,0.047,0
-0.026999999999999996,0.049,0
-0.026999999999999996,0.05,0
-0.027999999999999997,0.051000000000000004,0
-0.027999999999999997,0.052000000000000005,0
-0.028999999999999998,0.053000000000000005,0
-0.028999999999999998,0.054000000000000006,0
-0.032,0.05700000000000001,0
-0.032,0.05800000000000001,0
-0.04099999999999998,0.06700000000000002,0
-0.04199999999999998,0.06700000000000002,0
-0.043999999999999984,0.06900000000000002,0
-0.044999999999999984,0.06900000000000002,0
-0.046999999999999986,0.071,0
-0.04799999999999999,0.071,0
-0.04899999999999999,0.072,0
-0.04999999999999999,0.072,0
-0.05099999999999999,0.073,0
-0.05199999999999999,0.073,0
-0.05299999999999999,0.074,0
-0.05399999999999999,0.074,0
-0.05499999999999999,0.075,0
-0.056999999999999995,0.075,0
-0.057999999999999996,0.076,0
-0.061,0.076,0
-0.062,0.077,0
-0.06899999999999998,0.077,0
-0.06999999999999998,0.078,0
-0.07899999999999999,0.078,0
-0.07999999999999999,0.079,0
-0.08199999999999999,0.079,0
-0.08299999999999999,0.08,0
-0.08399999999999999,0.08,0
-0.08499999999999999,0.081,0
-0.086,0.081,0
-0.087,0.082,0
-0.088,0.082,0
-0.094,0.08800000000000001,0
-0.094,0.08900000000000001,0
-0.096,0.09100000000000001,0
-0.096,0.09200000000000001,0
-0.09699999999999998,0.09300000000000001,0
-0.09699999999999998,0.09500000000000001,0
-0.09799999999999998,0.09600000000000002,0
